plz,dist_transit_m,dist_park_m,dist_water_m,dist_school_m,count_food_500m,count_shop_500m,count_food_1000m,count_shop_1000m,count_transit_1000m
13627,593.9116750161776,242.14695212309257,862.3667766547386,65.41415512140843,2,3,3,4,2
13629,639.9822165884091,135.3919679175153,752.8028969900814,104.92119003587153,1,1,20,8,2
14050,802.6505552149794,469.24192775400803,878.1789551212121,121.86163699303866,4,0,29,5,1
14052,220.5410925051246,362.58268562685885,540.0619848494918,121.07225892553804,9,4,30,7,2
14053,621.0050520636313,549.1334468044951,731.4801627759347,633.242127657574,0,0,0,1,3
14055,1330.7397839757532,1208.5116236178862,954.8087118629876,469.1655891134571,0,0,0,0,0
14057,454.4952839429997,132.32263684312474,149.32346575983757,183.10111756601844,28,8,163,19,3
14059,430.5278555792254,208.85741937554332,500.253763929891,120.19808892493054,14,3,65,12,1
14089,5531.3896908164,1089.6130745988369,599.7253587640697,1254.1630117364707,1,0,2,0,0
14109,2451.1422425086266,1755.750143538589,1021.5563570598458,119.31149831322634,2,1,5,2,0
14129,1269.75751210322,1080.1293287226692,1125.2753013638128,877.9120144132077,0,0,1,0,0
14163,691.4191698447034,232.99473698071273,641.0630361353343,357.03937469851564,1,0,14,2,1
14165,1532.4559010100431,145.47359998805806,703.9429029521542,160.91590507795965,1,0,5,1,0
14167,1735.3416795635892,258.3495904363598,197.32750588054773,286.2307123592283,0,0,1,0,0
14169,391.1743497187858,241.04559498319597,645.3457739481717,529.5054131769689,5,3,13,4,2
14193,1712.6890420075863,1713.0876620689085,713.906414837003,2308.586294167739,0,0,0,0,0
14195,368.2810023224964,95.38685545139184,465.7049206185068,69.04000436344451,5,0,17,0,3
14197,279.734672218503,203.84313856643627,331.3817498125533,125.14854649652591,11,3,44,14,3
14199,1404.6104592336503,146.9983516706478,473.4920948602576,206.59623201124353,12,4,28,7,0
